id,rank,enrollment_probability
fa53aec85cee27761661186d432541bd,1,0.9981649681826821
526123f5e7e55990a4331a3f807f1c9c,2,0.9969889250037637
eddbf086298d195bb53402baf406f982,3,0.9969789402291951
bb5626584aa00e2b55f0b1fef9217a78,4,0.99648037794383
77f7610934c8e3e64764602f45203c9c,5,0.9954841487275233
50c0844960c47f3d1165041660b5c634,6,0.9952886907279438
dc61f38afd43841d97335548f202fb48,7,0.9948605426127402
85a16333cf616f9dbd75a4702dbd728d,8,0.9948053138833811
bf21b0d8e5ac88fe14751636d84796b1,9,0.994757676407169
e81a24ece8ef604e6ed261d2320db879,10,0.994330220541165
ee95fb1ba496511538163549f876580e,11,0.9943119533365141
74f1a7b71b96726421dd6b442e6ec67c,12,0.9936922539753812
dfe8550e8a89f87162695fcaafbfd59f,13,0.9931245690738721
98872f0ea5b4d69eed827d60248c7031,14,0.9921075809040266
d164ac8af2e59eab016f399f6b3de1e5,15,0.9912981950973556
55ae2999ab8ab584c17f75bd1fdf08b3,16,0.99061612248817
ac4802c40c11aa41591b4260731d977e,17,0.9905510115319589
f48db988a8fe29178a19ba7d56e3be66,18,0.9902108601334051
545fcc09608cdb1298439addce613739,19,0.9894034558757585
f14aaa34b01c481862c0deadc49e7351,20,0.9892718165859361
75eef6f394f59c0a2e4f2ba26c4ebc88,21,0.9876778760296836
6837760c2878fc4797b77dbd1a53cc7e,22,0.9876454815567556
bab3760b08ddfd9606a5892bb8ca6014,23,0.9872792192432462
10f63f3eb1bdee2fc793cd1ff94b64f0,24,0.9855651377359325
568dd78c4f140ea0581791657728ad26,25,0.9841347142045888
7e592c8530d4d45c02382efc7570f3c7,26,0.9812142400438136
9cef4693813124ae41953db00037ff0a,27,0.979289521430404
869ce752d5c6283cb95f515fa8151f95,28,0.9783979764537062
a65e356c50d5fd756d6c1262259b773a,29,0.9780340674556429
cec7aa5ec7353d4c994533b01c74f536,30,0.9775963038214245
48a235a2c8a542b1c2efdd61b3e07ff4,31,0.9772234458976117
5feb65febbbabf7882d41a45c13d5c23,32,0.9768776138771254
ddfc4308e443c748c8489bc37e059cb3,33,0.9718449949411399
964b516ec1f762dfe24a4ac80f155d0a,34,0.9711743465000222
2776f1caaf61fbf6e97c843fbe42d074,35,0.9656943594090416
d7e612cd0b2b2dbcbf7a754f916f9dab,36,0.9633538663828872
4c7a32fecb98e24f6bbd046f309ff047,37,0.9624302780691638
eb228f1ac42b52a3cb6843fed3ff8cc0,38,0.9533726410659354
96370f4735f23cbccb1b77a55cb025dd,39,0.9530010257355122
b2017d25e6c796f09109761066c569db,40,0.9516894704706446
774d24fef0f232cff05fd12176356338,41,0.9434053967132453
3a826ff1861f41d9c111d5cf511e57dd,42,0.9332319086403319
e54cb01b443cdd29093d5fd88b591253,43,0.9324470999564564
cf3942fd17361cf8d04fa2942df5b1c6,44,0.9309408437759253
7461ee24f8d0d3d91466c3a253be7c33,45,0.9291420231090437
709e6acb350684861a139790f9e6f25c,46,0.9290156384665335
0c65805c3782fb45ab2381546d534efd,47,0.9258241904224437
4e67f6d1e8bc407729fd30651d1e07d2,48,0.922704945087749
67442cb376006b5b0cdcfe91e8293138,49,0.9217806633842794
cf3239660786411fee7db7cfcbb165b0,50,0.9200442377058368
5767362bec30c301621bb7dc82d209df,51,0.9194507475669808
